fid;DN;Longitud;Latitud
1001;5;-6.84;43.27
1003;4;-6.37;43.27
1004;4;-6.29;43.27
1006;7;-6.02;43.27
1008;3;-5.95;43.27
1009;4;-5.89;43.27
1010;4;-5.70;43.27
1011;4;-5.58;43.27
1014;7;-5.36;43.27
1015;3;-5.30;43.27
1016;3;-5.12;43.27
1017;4;-5.08;43.27
1018;7;-5.07;43.27
1019;4;-5.04;43.29
1020;6;-5.01;43.27
1021;7;-5.00;43.27
1022;3;-4.67;43.27
1023;5;-4.61;43.27
1024;4;-4.51;43.27
1025;7;-4.48;43.27
1026;7;-4.44;43.27
1027;4;-4.43;43.27
1029;4;-3.87;43.27
1031;6;-3.73;43.27
1032;4;-3.72;43.27
1033;2;-3.70;43.27
1034;9;-3.68;43.27
1035;5;-3.67;43.27
1037;4;-3.53;43.28
1039;4;-2.89;43.27
1041;9;-2.60;43.27
1042;5;-2.59;43.27
1043;4;-2.45;43.27
1044;4;-2.37;43.27
1045;4;-2.12;43.27
1046;4;-1.93;43.27
1048;2;-1.46;43.27
1049;7;-1.44;43.27
1050;7;-1.42;43.27
1051;9;-7.55;43.28
1052;13;-6.97;43.27
1055;5;-4.75;43.28
1056;9;-3.09;43.27
1057;5;-3.07;43.27
1058;5;-1.76;43.28
1059;4;-6.34;43.27
1060;7;-5.88;43.27
1061;7;-4.97;43.27
1062;7;-4.64;43.27
1063;7;-4.38;43.29
1066;6;-3.39;43.27
1067;5;-3.10;43.27
1068;4;-2.73;43.27
1069;4;-2.24;43.27
1070;4;-2.19;43.27
1071;11;-1.80;43.27
1072;9;-1.72;43.27
1073;2;-1.50;43.27
1074;9;-6.95;43.26
1075;13;-6.94;43.26
1076;13;-6.89;43.26
1077;13;-6.83;43.26
1078;5;-6.78;43.26
1080;3;-6.02;43.27
1081;4;-5.99;43.26
1083;4;-5.86;43.26
1084;4;-5.68;43.26
1085;4;-5.62;43.26
1086;4;-5.59;43.26
1089;4;-5.29;43.26
1091;4;-5.18;43.26
1093;4;-5.07;43.26
1094;7;-5.06;43.26
1095;3;-4.99;43.26
1096;7;-4.79;43.26
1097;9;-4.66;43.26
1098;2;-4.54;43.26
1099;7;-4.51;43.26
1100;4;-4.49;43.26
1101;3;-4.47;43.26
1102;3;-4.40;43.28
1103;4;-4.40;43.26
1106;8;-3.81;43.29
1108;4;-3.77;43.26
1109;6;-3.74;43.26
1110;4;-3.71;43.26
1111;9;-3.70;43.26
1112;5;-3.68;43.26
1113;9;-3.66;43.27
1114;5;-3.65;43.26
1115;8;-3.64;43.26
1116;12;-3.55;43.26
1117;9;-3.52;43.26
1118;4;-3.48;43.30
1119;2;-3.42;43.27
1121;2;-3.18;43.31
1122;9;-2.59;43.26
1123;4;-2.56;43.26
1124;4;-2.48;43.26
1125;4;-2.38;43.26
1128;4;-2.22;43.26
1131;4;-1.90;43.26
1132;9;-1.84;43.26
1133;3;-1.81;43.26
1134;2;-1.74;43.26
1136;4;-1.51;43.26
1138;2;-1.48;43.26
1140;7;-1.45;43.26
1141;3;-1.44;43.26
1142;4;-7.85;43.30
1143;4;-2.31;43.28
1144;4;-6.75;43.27
1146;4;-7.89;43.26
1147;6;-6.35;43.26
1148;7;-5.97;43.26
1149;3;-5.83;43.27
1150;7;-5.32;43.26
1151;7;-5.09;43.26
1152;2;-4.87;43.26
1153;9;-1.41;43.26
1154;5;-7.01;43.26
1155;9;-7.00;43.29
1156;5;-6.87;43.26
1157;4;-6.42;43.31
1158;3;-5.97;43.26
1159;4;-5.28;43.30
1160;7;-5.23;43.26
1161;9;-4.61;43.26
1162;6;-3.72;43.26
1163;2;-3.62;43.26
1164;8;-3.49;43.26
1166;4;-3.14;43.26
1167;4;-2.53;43.27
1168;4;-2.28;43.26
1170;2;-1.59;43.26
1171;4;-7.76;43.25
1172;9;-7.02;43.25
1173;13;-6.95;43.25
1174;13;-6.91;43.25
1175;13;-6.85;43.25
1176;5;-6.84;43.25
1177;4;-6.65;43.25
1178;4;-6.47;43.25
1181;4;-5.61;43.25
1184;3;-5.30;43.25
1185;7;-5.29;43.25
1187;3;-5.19;43.25
1188;4;-5.12;43.26
1189;4;-5.10;43.25
1190;2;-5.01;43.25
1192;7;-4.90;43.25
1193;6;-4.83;43.25
1194;4;-4.81;43.25
1196;7;-4.75;43.25
1197;4;-4.70;43.25
1198;7;-4.67;43.25
1199;6;-4.66;43.25
1200;3;-4.64;43.25
1201;9;-4.63;43.25
1202;3;-4.62;43.25
1203;4;-4.54;43.26
1204;3;-4.50;43.25
1205;7;-4.47;43.25
1207;4;-4.16;43.26
1209;9;-3.97;43.25
1210;5;-3.96;43.25
1212;5;-3.56;43.25
1213;12;-3.52;43.25
1215;4;-3.22;43.27
1216;2;-3.21;43.25
